Course Subject,Course Number,Course Name,Course Description,See Also
ARTE,201,Art in Early Childhood I ,"
Prerequisite: Enrolment in the Specialization in Early Childhood or Major in Child Studies, or written permission of the Department. An introductory study of the art-making process in early childhood. This course is a studio workshop which investigates potential media and teaching approaches appropriate for the young child.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,202,Art in Early Childhood II,"
Prerequisite: ARTE 201. A continuation of ARTE 201.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,203,Arts in Recreation,"
In this workshop/seminar course, students are introduced to various art forms currently used in recreation centres. Intrinsic to the course content is a consideration of the role of the arts in recreation and leisure populations.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,220,Foundations of Art Education,"
A survey of content and contexts of the art education profession. In studio activities, students explore art-making skills and techniques, creative expression, artistic heritage and art in society. This content is related to lesson planning for schools, museums, and community settings. Students are introduced to children’s artistic development as well as basic management and safety standards for the art classroom. Practicum experiences will include observation of children’s art processes and some teaching.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,230,Practicum: Observation and Analysis of Children’s Learning,"
Prerequisite: ARTE 220. This practicum course gives students first-hand experience and knowledge of children’s learning as it occurs in the schools. It also provides students with a theoretical framework for observing and analyzing individual and group learning processes in the art classroom. It permits students to develop preliminary skills in assessing and meeting the needs of individual children. Students are introduced to methods for evaluating learning and for critically reflecting on learning and teaching. The practicum experience consists of a placement in a primary school one day a week for a total of 70 hours.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,320,Multidisciplinary Approaches to Art and Teaching,"
Prerequisite: ARTE 230 or written permission of the Department. This course investigates various creative, historical, and critical approaches to art as a basis for developing curriculum content. Students expand their repertoire of skills and techniques for planning and teaching lessons with multiple dimensions. Students also consider the specific requirements of students with special needs and those at different age levels. This course includes a practicum component.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,330,Introduction to Community Art Education,"
Prerequisite: ARTE 320 or written permission of the Department. The course investigates the various issues and concerns related to community art education. Students develop skills in assessing community needs. After observation and studio research, students develop and propose an art education curriculum for a specific community setting or population. This course includes a practicum component.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,340,Art Education for Adolescents and Adults,"
Prerequisite: 24 credits in the Major or Specialization in Art Education – Visual Arts. Students are introduced to theories of adolescent and adult development, and the effect these have on their behaviour and attitudes towards learning and art making. Students learn about different types of group management and support techniques appropriate for adolescent and adult students. The course presents ways to effectively integrate aspects of popular culture into curriculum planning.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,352,Light-Based Media,"
Prerequisite: 24 credits in the Major or Specialization in Art Education – Visual Arts, or permission of the Department. Students develop proficiency in a variety of imaging processes, including traditional and digital photography, that are suitable for school or community art education programs. Students investigate related approaches to teaching and curriculum.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,354,Time-Based Media,"
Prerequisite: 24 credits in the Major or Specialization in Art Education – Visual Arts, or permission of the Department. Students develop proficiency in a variety of time-based media, including video and multimedia installations that are suitable for school or community art education programs. Students investigate related approaches to teaching and curriculum.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,398,Special Topics in Art Education,"
This course provides an opportunity for the study of specialized aspects of art education. Topics chosen for consideration vary from year to year.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,420,Art Education for Elementary School,"
Prerequisite: ARTE 330. Students apply theories of development and learning to design appropriate lessons for elementary school practicum settings. The course explores currently available teaching resources such as textbooks, MEES curriculum, and communication technologies. The course also investigates processes and procedures for assessment appropriate to an elementary art classroom.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,421,Practicum in the Elementary School,"
Prerequisite: ARTE 330. Student teachers observe and assist an elementary school classroom teacher in the development and implementation of an effective art program during a practicum of 140 hours. Student teachers also observe the social and cultural dynamics of the school and initiate positive interactions with their students and professional colleagues.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,422,Art Education in the Secondary School I,"
Prerequisite: ARTE 434. A lecture/seminar course where students identify themes and concerns that are appropriate to secondary-school students with diverse backgrounds. Students explore the currently available teaching resources such as MEES curriculum and others, textbooks and communication technology.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,423,Practicum in the Secondary School I,"
Prerequisite: ARTE 420, 434; EDUC 200. Student teachers observe and assist a secondary-school art specialist in the development and implementation of an effective art program during a practicum of 140 hours. Student teachers also observe the social and cultural dynamics of the school and initiate positive interactions with their students and professional colleagues.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
ARTE,424,Art Education in the Secondary School II,"
Prerequisite: ARTE 422. The course concentrates on the objectives, goals, and content of the ",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-40.html#courses
