Course Subject,Course Number,Course Name,Course Description,See Also
ENCS,272,Composition and Argumentation for Engineers (3 credits),"Prerequisite: Completion of all ESL courses required on admission. Fundamentals of English composition and argumentation: grammar; reasoning and persuasion; persuasive proofs; argumentation; structuring and outlining; the problem statement; the body; and the conclusions. Language and persuasion for effective communication in professional engineering. Cultivation of a writing style firmly based on clear and critical thinking skills. Lectures: three hours per week. Tutorial: one hour per week.
NOTE: Students who pass this course with C- or higher will fulfill the GCS writing skills requirement, and will be eligible to enrol in ENCS 282.
NOTE: This course cannot be used for credit in any GCS degree or certificate program.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENCS,282,Technical Writing and Communication (3 credits),"Prerequisite: Students must have satisfied the requirements in §71.20.7 by passing the Engineering Writing Test (EWT), or by passing ENCS 272 with a grade of C- or higher. Technical writing form and style. Technical and scientific papers, abstracts, reports. Library research and referencing methods for engineers and computer scientists. Technical communication using information technology: document processing software, computer-assisted presentation, analysis and design of web presentation, choice and use of appropriate tools. Students will prepare an individual major report and make an oral presentation. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENCS,393,Social and Ethical Dimensions of Information and Communication Technologies (3 credits),Prerequisite: ENCS 282; 40 credits in BCompSc program. Ethics in an information society; surveillance and privacy; economic globalization and intellectual property in a digital world: the digital divide; computer-based profiling and hacking; electronic democracy; computer-mediated experience; and information productivity and the work/life balance. Lectures: three hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENCS,483,"Creativity, Innovation and Critical Thinking in Science and Technology (3 credits)","Prerequisite: Minimum of 60 credits in an engineering program or minimum of 45 credits in a non-engineering program. Understanding, thinking, arguing, and creativity in science and technology; analyzing and critiquing complex problems using multidisciplinary theories of creativity; exploring the processes of invention and innovation and their impact on economics, popular media, and social and cultural structures; case studies of why some inventions fail and others succeed. Students will be evaluated on case studies, assignments, and a project. Lectures: three hours per week.
NOTE: Students who have received credit for ENCS 283 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENCS,484,Development and Global Engineering (3 credits),"Prerequisite: Minimum of 60 credits in an engineering program or minimum of 45 credits in a non-engineering program. International development and global engineering: globalization; development projects; planning and analysis; and participatory data gathering. A project. Lectures: three hours per week.
NOTE: Students who have received credit for this topic under an ENCS 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENCS,485,Field Course in Engineering and Sustainable Development (3 credits),"Prerequisite: Minimum of 24 credits completed towards an undergraduate program offered by the Gina Cody School of Engineering and Computer Science; minimum GPA of 2.50. This is a complementary field course for undergraduate students interested in areas of international development and global engineering. The course consists of lectures at Concordia University followed by a trip to a designated location where development is underway. Topics include location and context-specific history and evolution of development, globalization, sustainability initiatives, technological planning and analysis, and participatory data gathering. Students are required to complete a project-based research paper on a topic approved by the course instructor.
NOTE: Students from other Faculties may register for this course with permission from the course instructor.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENCS,498,Topics in Engineering and Computer Science (3 credits),Prerequisite: Permission of the GCS. This course may be offered in a given year upon the authorization of the GCS. The course content may vary from offering to offering.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,108,Engineering C.Edge Option Reflective Learning I (3 credits),Prerequisite: Permission of the GCS. This course is a reflective learning module for students in their related field which is based on their academic requirements and their first C.Edge term.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,201,Professional Practice and Responsibility (1.5 credits),"Health and safety issues for engineering projects: Quebec and Canadian legislation; safe work practices; general laboratory safety common to all engineering disciplines, and specific laboratory safety pertaining to particular engineering disciplines. Review of the legal framework in Quebec, particularly the Professional Code and the Engineers Act, as well as professional ethics. Lectures: one and a half hours per week. Tutorial: one hour per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,202,Sustainable Development and Environmental Stewardship (1.5 credits),"Introduction to the concept of sustainable development and the approaches for achieving it. Relationships with economic, social, and technological development. Methods for evaluating sustainability of engineering projects, including utilization of relevant databases and software. Impact of engi­neering design and industrial development on the environment. Case studies. Lectures: one and a half hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,208,Engineering C.Edge Option Reflective Learning II (3 credits),Prerequisite: ENGR 108 and permission of the GCS. This course expands on the students’ second C.Edge term in their related field of study to further develop their knowledge and work-related skills.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,213,Applied Ordinary Differential Equations (3 credits),"Prerequisite: MATH 204 (Cegep Mathematics 105) previously or concurrently; MATH 205 (Cegep Mathematics 203). This course introduces Engineering students to the theory and application of ordinary differential equations. Definition and terminology, initial-value problems, separable differential equations, linear equations, exact equations, solutions by substitution, linear models, orthogonal trajectories, complex numbers, form of complex numbers: powers and roots, theory: linear equations, homogeneous linear equations with constant coefficients, undetermined coefficients, variation of parameters, Cauchy-Euler equation, reduction of order, linear models: initial value, review of power series, power series solutions, theory, homogeneous linear systems, solution by diagonalisation, non-homogeneous linear systems. Eigenvalues and eigenvectors. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,233,Applied Advanced Calculus (3 credits),"Prerequisite: MATH 204 (Cegep Mathematics 105); MATH 205 (Cegep Mathematics 203). This course introduces Engineering students to the theory and application of advanced calculus. Functions of several variables, partial derivatives, total and exact differentials, approximations with differentials. Tangent plane and normal line to a surface, directional derivatives, gradient. Double and triple integrals. Polar, cylindrical, and spherical coordinates. Change of variables in double and triple integrals. Vector differential calculus; divergence, curl, curvature, line integrals, Green’s theorem, surface integrals, divergence theorem, applications of divergence theorem, Stokes’ theorem. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,242,Statics (3 credits),Prerequisite: ENGR 213 previously or concurrently; PHYS 204; MATH 204. Resultant of force systems; equilibrium of particles and rigid bodies; distributed forces; statically determinate systems; trusses; friction; moments of inertia; virtual work. Shear and bending moment diagrams. Lectures: three hours per week. Tutorial: two hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,243,Dynamics (3 credits),"Prerequisite: ENGR 213, 242. Kinematics of a particle and rigid body; forces and accelerations; work and energy; impulse and momentum; dynamics of a system of particles and rigid bodies, introduction to vibrations. Lectures: three hours per week. Tutorial: two hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,244,Mechanics of Materials (3.75 credits),"Prerequisite: ENGR 213; ENGR 242 or 245; ENGR 233 previously or concurrently. Mechanical behaviour of materials; stress; strain; shear and bending moment diagrams; introduction to inelastic action. Analysis and design of structural and machine elements subjected to axial, torsional, and flexural loadings. Combined stresses and stress transformation. Deflections. Introduction to elastic stability. Lectures: three hours per week. Tutorial: two hours per week. Laboratory: three hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,245,Mechanical Analysis (3 credits),"Prerequisite: PHYS 204; ENGR 213 previously or concurrently. Forces in a plane and in space, moments of forces, Varignon’s theorem, rigid bodies in equilibrium, free-body diagram. Centroids, centres of gravity. Distributed forces, moments of inertia. Principle of virtual work. Kinematics of particles and rigid bodies. Forces and accelerations; work and energy; impulse and momentum. Kinetics of particles and rigid bodies. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ENGR,251,Thermodynamics I (3 credits),Prerequisite: MATH 203 (Cegep Mathematics 103). Basic principles of thermodynamics and their application to various systems composed of pure substances and their homogeneous non-reactive mixtures. Simple power production and utilization cycles. Lectures: three hours per week. Tutorial: two hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
