Course Subject,Course Number,Course Name,Course Description,See Also
ATRP,600,Readings in Art Therapy,"This course provides grounding in significant schools of psychological thought and their relevance to art therapy. It also promotes advanced knowledge and understanding of the therapeutic relationship and process from a psychodynamic perspective. Studied psychotherapeutic models include: psychodynamic, object relations, humanistic, cognitive-behavioural, as well as theories of trauma.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,602,Assessment Techniques in Art Therapy,This course emphasizes an understanding and experience of the purpose and process of various assessments in art therapy. The theory and practice of art therapy assessment in both clinical work and research are reviewed within the context of different populations.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,603,Symbolic Imagery and Art Therapy - Studio/Workshop,"Through experiential art workshops and readings, symbols and the symbolic/metaphoric function are examined with reference to various psychological models, including Freudian psychoanalysis, Jungian analytical psychology and Hillman’s archetypal/imaginal psychology. Students develop an understanding of art therapy methodology by exploring personal imagery.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,604,Group and Family Art Therapy,"This course provides a dialectical, experiential and practical examination of the major approaches to group dynamics, including psychodynamic, humanistic, systemic, and theories of communication. Stages, theories and clinical applications of group art therapy processes are explored.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,613,Art Therapy Practicum Supervision I,"In this course, students acquire skills in the implementation of the principles of psychotherapy within the practices of art therapy with a selected population. Students learn observation and assessment procedures, treatment planning, skills in establishing and maintaining the therapeutic relationship, on-going evaluation, methods of clinical documentation, and professional reporting in multidisciplinary teams. Individual and group supervision are provided. A minimum of 150 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,614,Art Therapy Practicum Supervision II,"Prerequisite: ATRP 613.
This course is a continuation of ATRP 613. A minimum of 200 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,620,Art Therapy Advanced Clinical Skills,"This course is designed to refine students’ clinical skills and deepen understanding of the practice of art therapy from a psychodynamic perspective. Through role-play experience and clinical discussion in a seminar format, therapeutic issues which students encounter during their fieldwork are explored.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,623,Advanced Art Therapy Practicum Supervision I,"Prerequisites: ATRP 613, 614.
This course is designed to promote the consolidation of students’ abilities in the practice of art therapy, to further develop clinical skills, and deepen psychotherapeutic understanding. Individual and group supervision are provided. Case presentations, readings and clinical analysis of therapeutic issues are integral to this course. A minimum of 200 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,624,Advanced Art Therapy Practicum Supervision II,"Prerequisites: ATRP 613, 614, 623.
This course is a continuation of ATRP 623. A minimum of 250 practicum hours is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,630,Child and Adolescent Art Therapy,"This course promotes an understanding of the theory and practice of art therapy with children and adolescents. Clinical applications of art therapy within diverse child and adolescent populations are examined with reference to the systemic, psychodynamic and cognitive models. Appropriate use of artistic media and play techniques are studied.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
ATRP,693,Research in Art Therapy,"Prerequisite: CATS 691.
This course is designed to foster the acquisition of knowledge and methodological tools in arts-based, qualitative and quantitative methods relevant to the field of art therapy. Emphasis is placed on the use of the practical tools necessary to conduct reliable and valid research.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,611,Counselling Skills for Creative Arts Therapists,"This course introduces basic skills and practices of counselling and psychotherapy for creative arts therapists. It provides the opportunity to explore, develop, and practice the skills required for effective therapeutic interventions across varied theoretical orientations and treatment approaches. The course focuses on the therapeutic relationship and the therapeutic frame.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,615,Independent Practicum in the Creative Arts Therapies,"Prerequisites: ATRP 613, 614.
With the Department’s approval and in agreement with a faculty supervisor, additional practicum experience is offered on an individual basis to students in special circumstances. A case study is required.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,631A,Selected Issues in the Creative Arts Therapies,"This course may be repeated as CATS 631B, 631C, etc.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,636,Independent Studies in Creative Arts Therapies,This course may be repeated as CATS 637.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,638,Creative Process in Clinical Practice for Creative Arts Therapists,"This course provides experiential learning in the clinical application of creative projection techniques through a methodology based on exploring character in myth and fairy tale. The creative process is examined through readings, discussions, masks, movement, music and drama.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,639,Interdisciplinary Topics: Cross-cultural Competence in the Creative Arts Therapies,"This course presents cross-cultural competence as an ethical obligation, providing an overview of multi-cultural counselling theory. Students explore challenges and opportunities arising in creative arts therapies clinical practice within an environment of cultural diversity as it relates to both the therapist and the client.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,640,Studio Media and Practice for Creative Arts Therapists,"Students develop skills with a variety of studio media and processes in their own creative arts discipline, while experiencing the media and creative process of an allied discipline. Commonalities and factors unique to each are examined for their potential in interdisciplinary practice.",http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
CATS,641,Interdisciplinary Topics: Ethics in Clinical Practice in the Creative Arts Therapies,This course covers ethical standards and requirements for clinical practice as established by both professional mental health and creative arts therapies associations. Students become familiar with expectations of professional and personal conduct as well as models for ethical decision-making. Students also gain an understanding of their personal value systems in relation to their work as creative arts therapists and how those values may inform ethical decision-making within their clinical practice.,http://www.concordia.ca/academics/graduate/calendar/current/fofa.html
